"Area","MTU","Biomass - Actual Aggregated [MW]","Biomass - Actual Consumption [MW]","Energy storage - Actual Aggregated [MW]","Energy storage - Actual Consumption [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Consumption [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Consumption [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Gas - Actual Consumption [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Hard coal - Actual Consumption [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil - Actual Consumption [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Oil shale - Actual Consumption [MW]","Fossil Peat - Actual Aggregated [MW]","Fossil Peat - Actual Consumption [MW]","Geothermal - Actual Aggregated [MW]","Geothermal - Actual Consumption [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Run-of-river and poundage - Actual Consumption [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Consumption [MW]","Marine - Actual Aggregated [MW]","Marine - Actual Consumption [MW]","Nuclear - Actual Aggregated [MW]","Nuclear - Actual Consumption [MW]","Other - Actual Aggregated [MW]","Other - Actual Consumption [MW]","Other renewable - Actual Aggregated [MW]","Other renewable - Actual Consumption [MW]","Solar - Actual Aggregated [MW]","Solar - Actual Consumption [MW]","Waste - Actual Aggregated [MW]","Waste - Actual Consumption [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Offshore - Actual Consumption [MW]","Wind Onshore - Actual Aggregated [MW]","Wind Onshore - Actual Consumption [MW]"
"BZN|CH","09.09.2025 06:00 - 09.09.2025 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2591","","2087","","2598","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","20",""
"BZN|CH","09.09.2025 07:00 - 09.09.2025 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3119","","2094","","2820","","n/e","n/e","1561","","n/e","n/e","n/e","n/e","41","","n/e","n/e","n/e","n/e","14",""
"BZN|CH","09.09.2025 08:00 - 09.09.2025 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3262","","2100","","2780","","n/e","n/e","1562","","n/e","n/e","n/e","n/e","185","","n/e","n/e","n/e","n/e","10",""
"BZN|CH","09.09.2025 09:00 - 09.09.2025 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3076","","2103","","2739","","n/e","n/e","1561","","n/e","n/e","n/e","n/e","529","","n/e","n/e","n/e","n/e","10",""
"BZN|CH","09.09.2025 10:00 - 09.09.2025 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2821","","2105","","2233","","n/e","n/e","1562","","n/e","n/e","n/e","n/e","819","","n/e","n/e","n/e","n/e","11",""
"BZN|CH","09.09.2025 11:00 - 09.09.2025 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1977","","2104","","1528","","n/e","n/e","1563","","n/e","n/e","n/e","n/e","1633","","n/e","n/e","n/e","n/e","11",""
"BZN|CH","09.09.2025 12:00 - 09.09.2025 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","770","","2102","","980","","n/e","n/e","1561","","n/e","n/e","n/e","n/e","2130","","n/e","n/e","n/e","n/e","9",""
"BZN|CH","09.09.2025 13:00 - 09.09.2025 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","601","","2097","","921","","n/e","n/e","1561","","n/e","n/e","n/e","n/e","2206","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","09.09.2025 14:00 - 09.09.2025 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","735","","2090","","856","","n/e","n/e","1559","","n/e","n/e","n/e","n/e","2057","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","09.09.2025 15:00 - 09.09.2025 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","730","","2082","","1004","","n/e","n/e","1558","","n/e","n/e","n/e","n/e","1926","","n/e","n/e","n/e","n/e","7",""
